TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE
W03,0902001,金門縣,金城鎮,"Jincheng Township",W,09020
W02,0902002,金門縣,金沙鎮,"Jinsha Township",W,09020
W01,0902003,金門縣,金湖鎮,"Jinhu Township",W,09020
W04,0902004,金門縣,金寧鄉,"Jinning Township",W,09020
W06,0902006,金門縣,烏坵鄉,"Wuchiou Township",W,09020
G01,1000201,宜蘭縣,宜蘭市,"Yilan City",G,10002
G06,1000202,宜蘭縣,羅東鎮,"Luodong Township",G,10002
G03,1000205,宜蘭縣,礁溪鄉,"Jiaoxi Township",G,10002
G05,1000207,宜蘭縣,員山鄉,"Yuanshan Township",G,10002
G08,1000208,宜蘭縣,冬山鄉,"Dongshan Township",G,10002
G10,1000210,宜蘭縣,三星鄉,"Sanxing Township",G,10002
G11,1000211,宜蘭縣,大同鄉,"Datong Township",G,10002
U07,1001502,花蓮縣,鳳林鎮,"Fenglin Township",U,10015
U03,1001503,花蓮縣,玉里鎮,"Yuli Township",U,10015
U02,1001507,花蓮縣,光復鄉,"Guangfu Township",U,10015
U09,1001509,花蓮縣,瑞穗鄉,"Ruisui Township",U,10015
U10,1001510,花蓮縣,富里鄉,"Fuli Township",U,10015
U12,1001512,花蓮縣,萬榮鄉,"Wanrong Township",U,10015
U13,1001513,花蓮縣,卓溪鄉,"Zhuoxi Township",U,10015
C02,1001702,基隆市,七堵區,"Qidu District",C,10017
C03,1001703,基隆市,暖暖區,"Nuannuan District",C,10017
C04,1001704,基隆市,仁愛區,"Renai District",C,10017
C07,1001707,基隆市,信義區,"Xinyi District",C,10017
G02,1000204,宜蘭縣,頭城鎮,"Toucheng Township",G,10002
G04,1000206,宜蘭縣,壯圍鄉,"Zhuangwei Township",G,10002
G12,1000212,宜蘭縣,南澳鄉,"Nanao Township",G,10002
U01,1001501,花蓮縣,花蓮市,"Hualien City",U,10015
U04,1001504,花蓮縣,新城鄉,"Xincheng Township",U,10015
U05,1001505,花蓮縣,吉安鄉,"Jian Township",U,10015
U06,1001506,花蓮縣,壽豐鄉,"Shoufeng Township",U,10015
U08,1001508,花蓮縣,豐濱鄉,"Fengbin Township",U,10015
U11,1001511,花蓮縣,秀林鄉,"Xiulin Township",U,10015
C01,1001701,基隆市,中正區,"Zhongzheng District",C,10017
C05,1001705,基隆市,中山區,"Zhongshan District",C,10017
C06,1001706,基隆市,安樂區,"Anle District",C,10017
F33,6500400,新北市,永和區,"Yonghe District",F,65
F07,6500600,新北市,新店區,"Xindian District",F,65
F19,6501300,新北市,土城區,"Tucheng District",F,65
F04,6501400,新北市,蘆洲區,"Luzhou District",F,65
F03,6501500,新北市,五股區,"Wugu District",F,65
F10,6502000,新北市,坪林區,"Pinglin District",F,65
F22,6502400,新北市,平溪區,"Pingxi District",F,65
F11,6502900,新北市,烏來區,"Wulai District",F,65
F27,6501000,新北市,淡水區,"Danshui District",F,65
F21,6501200,新北市,瑞芳區,"Ruifang District",F,65
F02,6501700,新北市,林口區,"Linkou District",F,65
F30,6502100,新北市,三芝區,"Sanzhi District",F,65
F32,6502300,新北市,八里區,"Bali District",F,65
W05,0902005,金門縣,烈嶼鄉,"Lieyu Township",W,09020
